model,channel,tau_hours,acc
Bilinear,T1000,1,0.993607
Bilinear,T925,1,0.995269
Bilinear,T850,1,0.995816
Bilinear,T700,1,0.997018
Bilinear,U1000,1,0.992742
Bilinear,U925,1,0.993016
Bilinear,U850,1,0.993595
Bilinear,U700,1,0.994456
Bilinear,V1000,1,0.992053
Bilinear,V925,1,0.991115
Bilinear,V850,1,0.991453
Bilinear,V700,1,0.992677
Bilinear,Q1000,1,0.993431
Bilinear,Q925,1,0.985819
Bilinear,Q850,1,0.986788
Bilinear,Q700,1,0.989770
Bilinear,Z1000,1,0.997582
Bilinear,Z925,1,0.997636
Bilinear,Z850,1,0.997811
Bilinear,Z700,1,0.998347
Bilinear,t2m,1,0.986098
Bilinear,u10,1,0.992397
Bilinear,v10,1,0.991528
Bilinear,mslp,1,0.997804
Bilinear,T1000,2,0.984289
Bilinear,T925,2,0.988350
Bilinear,T850,2,0.989587
Bilinear,T700,2,0.992654
Bilinear,U1000,2,0.982148
Bilinear,U925,2,0.982619
Bilinear,U850,2,0.984052
Bilinear,U700,2,0.986366
Bilinear,V1000,2,0.979990
Bilinear,V925,2,0.977698
Bilinear,V850,2,0.978500
Bilinear,V700,2,0.981635
Bilinear,Q1000,2,0.983532
Bilinear,Q925,2,0.964570
Bilinear,Q850,2,0.965991
Bilinear,Q700,2,0.973885
Bilinear,Z1000,2,0.994374
Bilinear,Z925,2,0.994528
Bilinear,Z850,2,0.994957
Bilinear,Z700,2,0.996226
Bilinear,t2m,2,0.963224
Bilinear,u10,2,0.981209
Bilinear,v10,2,0.978611
Bilinear,mslp,2,0.994896
Bilinear,T1000,3,0.980706
Bilinear,T925,3,0.985485
Bilinear,T850,3,0.986825
Bilinear,T700,3,0.990664
Bilinear,U1000,3,0.977467
Bilinear,U925,3,0.977996
Bilinear,U850,3,0.979706
Bilinear,U700,3,0.982675
Bilinear,V1000,3,0.974569
Bilinear,V925,3,0.971767
Bilinear,V850,3,0.972641
Bilinear,V700,3,0.976563
Bilinear,Q1000,3,0.978231
Bilinear,Q925,3,0.954918
Bilinear,Q850,3,0.955897
Bilinear,Q700,3,0.965822
Bilinear,Z1000,3,0.992907
Bilinear,Z925,3,0.993076
Bilinear,Z850,3,0.993579
Bilinear,Z700,3,0.995159
Bilinear,t2m,3,0.959798
Bilinear,u10,3,0.976266
Bilinear,v10,3,0.972807
Bilinear,mslp,3,0.993555
Bilinear,T1000,4,0.986025
Bilinear,T925,4,0.989025
Bilinear,T850,4,0.989673
Bilinear,T700,4,0.992525
Bilinear,U1000,4,0.981543
Bilinear,U925,4,0.982090
Bilinear,U850,4,0.983679
Bilinear,U700,4,0.986058
Bilinear,V1000,4,0.979377
Bilinear,V925,4,0.977206
Bilinear,V850,4,0.978247
Bilinear,V700,4,0.981404
Bilinear,Q1000,4,0.983003
Bilinear,Q925,4,0.964170
Bilinear,Q850,4,0.966301
Bilinear,Q700,4,0.974015
Bilinear,Z1000,4,0.994308
Bilinear,Z925,4,0.994419
Bilinear,Z850,4,0.994809
Bilinear,Z700,4,0.996065
Bilinear,t2m,4,0.972173
Bilinear,u10,4,0.980635
Bilinear,v10,4,0.978018
Bilinear,mslp,4,0.994832
Bilinear,T1000,5,0.994850
Bilinear,T925,5,0.995816
Bilinear,T850,5,0.996001
Bilinear,T700,5,0.997013
Bilinear,U1000,5,0.992679
Bilinear,U925,5,0.992979
Bilinear,U850,5,0.993568
