channel,Bilinear,FuXi 24ch,ModAFNO 24ch,S-DYff 24ch,ATM-VFI,WeatherDCAE,CorrDiff/DC-AE,Latent CorrDiff
T1000,0.980706,0.989804,0.982479,0.988488,0.991189,0.994293,0.993208,0.981861
T925,0.985485,0.990780,0.986221,0.989489,0.991932,0.994998,0.993737,0.984998
T850,0.986825,0.990064,0.985011,0.988625,0.991388,0.995297,0.993611,0.989020
T700,0.990664,0.992121,0.988263,0.991321,0.992716,0.995998,0.994574,0.989798
U1000,0.977467,0.989622,0.983183,0.983597,0.993045,0.995714,0.994881,0.994506
U925,0.977996,0.990187,0.983623,0.983929,0.993241,0.996127,0.995247,0.994989
U850,0.979706,0.988369,0.983569,0.983324,0.991709,0.995810,0.995039,0.994736
U700,0.982675,0.989208,0.984739,0.984371,0.992211,0.996039,0.995589,0.995041
V1000,0.974569,0.991032,0.983317,0.983251,0.994464,0.996467,0.995751,0.995754
V925,0.971767,0.991293,0.982258,0.982584,0.994635,0.996766,0.996085,0.996160
V850,0.972641,0.989947,0.981590,0.980691,0.993630,0.996346,0.995613,0.995842
V700,0.976563,0.991035,0.983215,0.981051,0.994692,0.996587,0.996283,0.996181
Q1000,0.978231,0.982229,0.975449,0.981378,0.983445,0.988183,0.987393,0.975647
Q925,0.954918,0.960049,0.955458,0.957935,0.962851,0.976982,0.970505,0.970780
Q850,0.955897,0.961871,0.958274,0.958277,0.964577,0.985738,0.983226,0.982032
Q700,0.965822,0.970971,0.968046,0.966907,0.969581,0.989643,0.989132,0.987867
Z1000,0.992907,0.998740,0.996903,0.998495,0.999227,0.999503,0.999409,0.998440
Z925,0.993076,0.998804,0.996091,0.998615,0.999287,0.999535,0.999439,0.998334
Z850,0.993579,0.998880,0.996531,0.998779,0.999324,0.999561,0.999479,0.997855
Z700,0.995159,0.999094,0.995592,0.999092,0.999425,0.999623,0.999565,0.996771
t2m,0.959798,0.984954,0.953367,0.983056,0.985385,0.989220,0.988275,0.965612
u10,0.976266,0.989337,0.981981,0.982986,0.992898,0.995535,0.994706,0.994379
v10,0.972807,0.990583,0.981908,0.982204,0.994157,0.996139,0.995423,0.995421
mslp,0.993555,0.998786,0.996784,0.998549,0.999232,0.999510,0.999409,0.998354
