model,channel,tau_hours,rmse_norm
Bilinear,T1000,1,0.018906
Bilinear,T925,1,0.019584
Bilinear,T850,1,0.020762
Bilinear,T700,1,0.017475
Bilinear,U1000,1,0.096403
Bilinear,U925,1,0.093643
Bilinear,U850,1,0.087228
Bilinear,U700,1,0.080229
Bilinear,V1000,1,0.189212
Bilinear,V925,1,0.245725
Bilinear,V850,1,0.292761
Bilinear,V700,1,0.337554
Bilinear,Q1000,1,0.024335
Bilinear,Q925,1,0.042542
Bilinear,Q850,1,0.064494
Bilinear,Q700,1,0.081606
Bilinear,Z1000,1,0.043742
Bilinear,Z925,1,0.034798
Bilinear,Z850,1,0.026836
Bilinear,Z700,1,0.017055
Bilinear,t2m,1,0.022821
Bilinear,u10,1,0.098224
Bilinear,v10,1,0.190376
Bilinear,mslp,1,0.043234
Bilinear,T1000,2,0.029993
Bilinear,T925,2,0.030824
Bilinear,T850,2,0.032696
Bilinear,T700,2,0.027355
Bilinear,U1000,2,0.150704
Bilinear,U925,2,0.147154
Bilinear,U850,2,0.137023
Bilinear,U700,2,0.125245
Bilinear,V1000,2,0.298721
Bilinear,V925,2,0.386980
Bilinear,V850,2,0.461332
Bilinear,V700,2,0.530893
Bilinear,Q1000,2,0.038560
Bilinear,Q925,2,0.066883
Bilinear,Q850,2,0.102677
Bilinear,Q700,2,0.129344
Bilinear,Z1000,2,0.066919
Bilinear,Z925,2,0.053112
Bilinear,Z850,2,0.040844
Bilinear,Z700,2,0.025831
Bilinear,t2m,2,0.039723
Bilinear,u10,2,0.153872
Bilinear,v10,2,0.300828
Bilinear,mslp,2,0.066077
Bilinear,T1000,3,0.033970
Bilinear,T925,3,0.034714
Bilinear,T850,3,0.036830
Bilinear,T700,3,0.030815
Bilinear,U1000,3,0.169386
Bilinear,U925,3,0.165597
Bilinear,U850,3,0.154419
Bilinear,U700,3,0.140910
Bilinear,V1000,3,0.336576
Bilinear,V925,3,0.435120
Bilinear,V850,3,0.519610
Bilinear,V700,3,0.597969
Bilinear,Q1000,3,0.044573
Bilinear,Q925,3,0.075563
Bilinear,Q850,3,0.116730
Bilinear,Q700,3,0.147464
Bilinear,Z1000,3,0.075530
Bilinear,Z925,3,0.060036
Bilinear,Z850,3,0.046294
Bilinear,Z700,3,0.029348
Bilinear,t2m,3,0.043580
Bilinear,u10,3,0.172993
Bilinear,v10,3,0.338933
Bilinear,mslp,3,0.074584
Bilinear,T1000,4,0.030111
Bilinear,T925,4,0.030903
Bilinear,T850,4,0.032944
Bilinear,T700,4,0.027752
Bilinear,U1000,4,0.153258
Bilinear,U925,4,0.149804
Bilinear,U850,4,0.139468
Bilinear,U700,4,0.127630
Bilinear,V1000,4,0.301994
Bilinear,V925,4,0.390849
Bilinear,V850,4,0.466788
Bilinear,V700,4,0.540051
Bilinear,Q1000,4,0.039612
Bilinear,Q925,4,0.067529
Bilinear,Q850,4,0.102019
Bilinear,Q700,4,0.129481
Bilinear,Z1000,4,0.068343
Bilinear,Z925,4,0.054433
Bilinear,Z850,4,0.042036
Bilinear,Z700,4,0.026708
Bilinear,t2m,4,0.039301
Bilinear,u10,4,0.156320
Bilinear,v10,4,0.303918
Bilinear,mslp,4,0.067422
Bilinear,T1000,5,0.018912
Bilinear,T925,5,0.019423
Bilinear,T850,5,0.020668
Bilinear,T700,5,0.017608
Bilinear,U1000,5,0.097420
Bilinear,U925,5,0.094546
Bilinear,U850,5,0.088110
Bilinear,U700,5,0.081167
Bilinear,V1000,5,0.190418
Bilinear,V925,5,0.247070
Bilinear,V850,5,0.294816
Bilinear,V700,5,0.341571
Bilinear,Q1000,5,0.024898
Bilinear,Q925,5,0.042668
Bilinear,Q850,5,0.064189
Bilinear,Q700,5,0.081755
Bilinear,Z1000,5,0.044496
Bilinear,Z925,5,0.035622
Bilinear,Z850,5,0.027683
Bilinear,Z700,5,0.017725
Bilinear,t2m,5,0.024112
Bilinear,u10,5,0.099187
Bilinear,v10,5,0.191544
Bilinear,mslp,5,0.043907
FuXi 24ch,T1000,1,0.014015
FuXi 24ch,T925,1,0.015737
FuXi 24ch,T850,1,0.018095
FuXi 24ch,T700,1,0.016117
FuXi 24ch,U1000,1,0.067822
FuXi 24ch,U925,1,0.064856
FuXi 24ch,U850,1,0.067430
FuXi 24ch,U700,1,0.064419
FuXi 24ch,V1000,1,0.115618
FuXi 24ch,V925,1,0.141066
FuXi 24ch,V850,1,0.180839
FuXi 24ch,V700,1,0.209241
FuXi 24ch,Q1000,1,0.022267
FuXi 24ch,Q925,1,0.040378
FuXi 24ch,Q850,1,0.060284
FuXi 24ch,Q700,1,0.075343
FuXi 24ch,Z1000,1,0.023094
FuXi 24ch,Z925,1,0.018598
FuXi 24ch,Z850,1,0.014634
FuXi 24ch,Z700,1,0.009634
FuXi 24ch,t2m,1,0.016065
FuXi 24ch,u10,1,0.068376
FuXi 24ch,v10,1,0.115503
FuXi 24ch,mslp,1,0.023191
FuXi 24ch,T1000,2,0.021899
FuXi 24ch,T925,2,0.024556
FuXi 24ch,T850,2,0.028344
FuXi 24ch,T700,2,0.025085
FuXi 24ch,U1000,2,0.103001
FuXi 24ch,U925,2,0.098996
FuXi 24ch,U850,2,0.103989
FuXi 24ch,U700,2,0.098981
FuXi 24ch,V1000,2,0.178551
FuXi 24ch,V925,2,0.216893
FuXi 24ch,V850,2,0.279677
FuXi 24ch,V700,2,0.326528
FuXi 24ch,Q1000,2,0.034977
FuXi 24ch,Q925,2,0.063147
FuXi 24ch,Q850,2,0.095662
FuXi 24ch,Q700,2,0.119183
FuXi 24ch,Z1000,2,0.029499
FuXi 24ch,Z925,2,0.023217
