channel,Bilinear,FuXi 24ch,ModAFNO 24ch,S-DYff 24ch,ATM-VFI,WeatherDCAE,CorrDiff/DC-AE
T1000,0.033970,0.024735,0.032358,0.026270,0.022997,0.018716,0.021280
T925,0.034714,0.027674,0.033794,0.029540,0.025899,0.020655,0.023762
T850,0.036830,0.031979,0.039243,0.034204,0.029781,0.022332,0.026777
T700,0.030815,0.028264,0.034458,0.029660,0.027179,0.020368,0.024415
U1000,0.169386,0.115019,0.146268,0.144355,0.094227,0.075413,0.084662
U925,0.165597,0.110597,0.142774,0.141283,0.091837,0.071087,0.080597
U850,0.154419,0.116937,0.138904,0.139842,0.098814,0.071698,0.080909
U700,0.140910,0.111329,0.132240,0.133807,0.094654,0.068359,0.076954
V1000,0.336576,0.199859,0.272193,0.272466,0.157066,0.127823,0.144393
V925,0.435120,0.241811,0.344675,0.341024,0.189813,0.150350,0.170471
V850,0.519610,0.315360,0.426306,0.435901,0.251167,0.193843,0.221220
V700,0.597969,0.370669,0.506174,0.537447,0.285384,0.232514,0.258454
Q1000,0.044573,0.040218,0.047162,0.041160,0.038817,0.033114,0.036887
Q925,0.075563,0.071174,0.075059,0.072989,0.068678,0.054821,0.062862
Q850,0.116730,0.108565,0.113475,0.113450,0.104706,0.067612,0.077429
Q700,0.147464,0.135954,0.142547,0.145005,0.139123,0.082509,0.093960
Z1000,0.075530,0.031806,0.049919,0.034788,0.024901,0.020797,0.022962
Z925,0.060036,0.024932,0.045073,0.026849,0.019260,0.016276,0.017932
Z850,0.046294,0.019336,0.033999,0.020182,0.015016,0.012665,0.013916
Z700,0.029348,0.012695,0.027960,0.012704,0.010097,0.008544,0.009340
t2m,0.043580,0.026813,0.046916,0.028465,0.026424,0.022826,0.024584
u10,0.172993,0.116034,0.150625,0.146317,0.094781,0.076669,0.085849
v10,0.338933,0.199532,0.276093,0.273608,0.157249,0.130089,0.146198
mslp,0.074584,0.032349,0.052634,0.035363,0.025717,0.021341,0.023667
