architecture,year,hours,field,heldout_nrmse,full_nrmse,heldout_minus_full,full_gain_pct,delta_ci95_low,delta_ci95_median,delta_ci95_high,bootstrap_draws_full_not_better,bootstrap_tail_probability_full_not_better,bootstrap_probability_at_floor,comparability
WeatherBridge,2020,trained_hours,T1000,0.014021069553685699,0.014007025202245435,1.4044351440263558e-05,0.10016604929095256,1.045038160637354e-05,1.4070311519260616e-05,1.7674344211164983e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,T925,0.014837301146550547,0.01476581487383491,7.148627271563734e-05,0.4818010499992908,6.868763080355991e-05,7.151280101364097e-05,7.427744034210564e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,T850,0.016495849484392953,0.01636680516782808,0.0001290443165648733,0.782283547670368,0.00012527863662943435,0.00012903152264800988,0.00013269826076430037,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,T700,0.014662612225645605,0.014645064038054725,1.7548187590879505e-05,0.11967981776253274,1.552555442430638e-05,1.758513302065317e-05,1.962883425733167e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,U1000,0.06135903868392312,0.06173254165469936,-0.0003735029707762419,-0.608717116153426,-0.00038315508820665914,-0.000373521327892902,-0.0003637399185600519,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,U925,0.056622355494481226,0.05682126180812156,-0.00019890631364033462,-0.3512858338429974,-0.0002074801805548131,-0.0001988682078719814,-0.00019025332694748364,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,U850,0.057798368321485445,0.05783527602016636,-3.6907698680914425e-05,-0.06385595260341405,-4.605060961919462e-05,-3.685501745796793e-05,-2.7620971267732985e-05,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,U700,0.05632554415664013,0.05618148415085955,0.00014406000578057881,0.25576318513666024,0.00013447740618117656,0.00014403307886076688,0.00015396160856670748,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,V1000,0.10394803193720463,0.10465232765207728,-0.0007042957148726547,-0.6775459830717355,-0.0007233392859619439,-0.0007044349267831471,-0.0006858153246469004,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,V925,0.12278362211538628,0.12332389761588497,-0.0005402755004986909,-0.440022448589247,-0.0005636690615424995,-0.0005404711740054288,-0.000518379846662809,5000,1.0,False,optimizer_budget_and_seed_matched
