architecture,year,hours,heldout_nrmse,full_nrmse,full_gain_pct,cells_full_better,cells_total,comparability
WeatherBridge,2020,trained,0.054847163757798224,0.055037328167719564,-0.3467169437622958,33,72,optimizer_budget_and_seed_matched
WeatherBridge,2020,held_out,0.07434956579686214,0.06782834698133229,8.77102474726903,48,48,optimizer_budget_and_seed_matched
WeatherBridge,2020,all,0.0626481245734238,0.060153735693164644,3.9815858770612023,81,120,optimizer_budget_and_seed_matched
WeatherBridge,2021,trained,0.05460828488717415,0.054792654499121435,-0.33762205190698286,32,72,optimizer_budget_and_seed_matched
WeatherBridge,2021,held_out,0.0740765887720865,0.06757403258898483,8.778152842739932,48,48,optimizer_budget_and_seed_matched
WeatherBridge,2021,all,0.06239560644113908,0.059905205735066795,3.9913077989258876,80,120,optimizer_budget_and_seed_matched
WeatherDCAE-14M,2020,trained,0.06346904521047583,0.059224605361406946,6.687417204707414,72,72,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,held_out,0.08166771163456611,0.07281400031267198,10.841140451579369,48,48,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,all,0.07074851178011195,0.06466036334191295,8.605337815615263,120,120,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2021,trained,0.06312637710742793,0.0589247193764259,6.6559462518365065,72,72,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2021,held_out,0.0813003427955272,0.07250607719206431,10.817009253676492,48,48,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2021,all,0.07039596338266764,0.06435726250268127,8.578191972685145,120,120,same_seed_full_has_more_optimizer_steps
PixelAttn-VFI,2020,trained,0.06984857032339242,0.06658922124407278,4.666307505263397,70,72,eight_epochs_but_full_has_more_optimizer_steps_seed_unverified_for_heldout
PixelAttn-VFI,2020,held_out,0.09110990857240427,0.08158430682520691,10.4550667391214,48,48,eight_epochs_but_full_has_more_optimizer_steps_seed_unverified_for_heldout
PixelAttn-VFI,2020,all,0.07835310562299716,0.07258725547652643,7.358802309909223,118,120,eight_epochs_but_full_has_more_optimizer_steps_seed_unverified_for_heldout
PixelAttn-VFI,2021,trained,0.06941832645760845,0.06620821120150136,4.624305165390883,70,72,eight_epochs_but_full_has_more_optimizer_steps_seed_unverified_for_heldout
PixelAttn-VFI,2021,held_out,0.09056484933681756,0.0811879585273149,10.353786130233914,48,48,eight_epochs_but_full_has_more_optimizer_steps_seed_unverified_for_heldout
PixelAttn-VFI,2021,all,0.0778769356092921,0.07220011013182678,7.289482351932667,118,120,eight_epochs_but_full_has_more_optimizer_steps_seed_unverified_for_heldout
SwinV2,2020,trained,0.07605083548214336,0.0759605187202789,0.11875840849332103,43,72,optimizer_steps_matched_seed_not_checkpoint_verified
SwinV2,2020,held_out,0.09556504820250607,0.09356333146075503,2.0946117638211414,47,48,optimizer_steps_matched_seed_not_checkpoint_verified
SwinV2,2020,all,0.08385652057028846,0.08300164381646935,1.0194517349459449,90,120,optimizer_steps_matched_seed_not_checkpoint_verified
SwinV2,2021,trained,0.075516274794679,0.07542304033427853,0.12346273787201538,44,72,optimizer_steps_matched_seed_not_checkpoint_verified
SwinV2,2021,held_out,0.09499754705891895,0.09299135184008277,2.1118389694756163,48,48,optimizer_steps_matched_seed_not_checkpoint_verified
SwinV2,2021,all,0.08330878370037498,0.08245036493660023,1.0304060696193884,92,120,optimizer_steps_matched_seed_not_checkpoint_verified
S-DYff,2020,trained,0.0961522663622082,0.09706755870540476,-0.9519196768057816,4,72,optimizer_steps_matched_seed_not_checkpoint_verified
S-DYff,2020,held_out,0.1202349822835193,0.12092223149118075,-0.5715883968285494,21,48,optimizer_steps_matched_seed_not_checkpoint_verified
S-DYff,2020,all,0.10578535273073263,0.10660942781971515,-0.7790067979261122,25,120,optimizer_steps_matched_seed_not_checkpoint_verified
S-DYff,2021,trained,0.09545317375498127,0.09623832140831869,-0.8225474569895467,14,72,optimizer_steps_matched_seed_not_checkpoint_verified
S-DYff,2021,held_out,0.1193056234535053,0.12011249542843801,-0.6763067419425971,17,48,optimizer_steps_matched_seed_not_checkpoint_verified
S-DYff,2021,all,0.10499415363439087,0.10578799101636642,-0.7560777000401785,31,120,optimizer_steps_matched_seed_not_checkpoint_verified
