ell power_ratio signed_cospectrum
80 0.878609670 0.976688096
81 0.877934713 0.975816181
82 0.876912870 0.975440281
83 0.871343486 0.974390744
84 0.872037206 0.973985898
85 0.866382058 0.973058470
86 0.863194001 0.972716842
87 0.861655140 0.972044883
88 0.858618783 0.971306347
89 0.857699797 0.970764223
90 0.854934331 0.970083618
91 0.849791458 0.968565994
92 0.850896264 0.968545749
93 0.844629093 0.967519076
94 0.844530258 0.967113421
95 0.839659969 0.965942153
96 0.841153839 0.965499790
97 0.835386535 0.965078997
98 0.833884630 0.964171519
99 0.830675735 0.963156551
100 0.826129143 0.962583427
101 0.822678641 0.961563600
102 0.822439215 0.961163246
103 0.816317145 0.960364621
104 0.817187580 0.959586632
105 0.812327184 0.958690915
106 0.810865143 0.958035493
107 0.807667635 0.956889699
108 0.802668191 0.956276918
109 0.802972580 0.955423897
110 0.799079906 0.954529536
111 0.796110207 0.953985760
112 0.794164010 0.952822673
113 0.792021581 0.951988306
114 0.787687262 0.950748585
115 0.784620906 0.950644767
116 0.780886674 0.949364008
117 0.777953623 0.948752704
118 0.774797621 0.948367612
119 0.773244754 0.946523567
120 0.770840786 0.946121670
121 0.767793235 0.945383150
122 0.767245426 0.944845741
123 0.765596768 0.943584329
124 0.759585198 0.942722477
125 0.758150880 0.942013906
126 0.757284012 0.941504832
127 0.753967237 0.940651385
128 0.750948751 0.939235772
129 0.746821907 0.938216923
130 0.745000666 0.937714681
131 0.741414421 0.936676443
132 0.738896376 0.936020524
133 0.738454388 0.934869549
134 0.734849557 0.933935829
135 0.730492082 0.932738238
136 0.728999365 0.932268685
137 0.726479575 0.930931105
138 0.722566253 0.930412883
139 0.717977459 0.929202563
140 0.716616189 0.929015162
141 0.715672547 0.927354140
142 0.710908109 0.926880179
143 0.711650746 0.926656534
144 0.707486742 0.925638819
145 0.707053714 0.924965669
146 0.704130896 0.923157901
147 0.699396112 0.922192021
148 0.697466380 0.922416880
149 0.694887528 0.921276911
150 0.692429462 0.920657189
151 0.688951300 0.919107122
152 0.686120213 0.919053227
153 0.685545993 0.918253316
154 0.681087176 0.916696808
155 0.681049338 0.915772901
156 0.675936369 0.914253932
157 0.674090599 0.913561969
158 0.669493614 0.913482793
159 0.664390025 0.912173900
160 0.663734543 0.911272873
161 0.665031963 0.910675474
162 0.660219217 0.910111163
163 0.657863717 0.908967739
164 0.655590283 0.908148055
165 0.651017245 0.907330375
166 0.647165584 0.906669543
167 0.646387865 0.904957682
168 0.644538241 0.904773667
169 0.639168830 0.902393515
170 0.639719676 0.902939317
171 0.636435516 0.901974072
172 0.634522887 0.901034801
173 0.630753004 0.901006765
174 0.628837516 0.899710335
175 0.623804855 0.897368647
176 0.622059661 0.896816551
177 0.618858592 0.895583547
178 0.617730377 0.894748818
179 0.615403394 0.894107098
180 0.610132155 0.893068327
