ell power_ratio signed_cospectrum
80 0.769478246 0.927954240
81 0.767498954 0.925084346
82 0.767617488 0.923795132
83 0.764527729 0.920537227
84 0.763126851 0.918512900
85 0.756870515 0.915141594
86 0.749604584 0.913861781
87 0.755304599 0.911574071
88 0.747842706 0.908864256
89 0.749406861 0.906296510
90 0.744778281 0.903789661
91 0.738826351 0.899012585
92 0.739699696 0.899222128
93 0.735787968 0.895357845
94 0.736548083 0.894048899
95 0.728683254 0.889947177
96 0.733211185 0.887733412
97 0.728667073 0.885708866
98 0.725750314 0.882844266
99 0.723623046 0.878953299
100 0.717666451 0.876596788
101 0.715025788 0.873594605
102 0.714926935 0.871266766
103 0.710942444 0.869735869
104 0.712459264 0.867281608
105 0.706888130 0.862879226
106 0.707471091 0.860637327
107 0.702432953 0.857481430
108 0.699961712 0.854598501
109 0.700223392 0.851509372
110 0.700585514 0.849211200
111 0.695731042 0.846666486
112 0.695154068 0.843294496
113 0.692500422 0.839163021
114 0.690689460 0.835168840
115 0.685862731 0.834446536
116 0.683307578 0.829209205
117 0.681970315 0.827623128
118 0.680568699 0.825798131
119 0.679815760 0.819252177
120 0.679632587 0.818062839
121 0.674582038 0.814676710
122 0.677821937 0.813532423
123 0.675306009 0.807627395
124 0.670569636 0.805488925
125 0.671926430 0.804017248
126 0.670278391 0.802220484
127 0.665857575 0.798314876
128 0.667568721 0.795834057
129 0.660788090 0.792079729
130 0.663596410 0.790658191
131 0.661031462 0.784747887
132 0.659444574 0.782746189
133 0.660108347 0.780321678
134 0.657403547 0.776207577
135 0.656102442 0.771946984
136 0.656597257 0.771479236
137 0.651591441 0.766370004
138 0.651985296 0.765414997
139 0.646569770 0.761102525
140 0.649783497 0.760750087
141 0.650407794 0.755675899
142 0.645890513 0.754753976
143 0.649016900 0.752490041
144 0.645676740 0.748541437
145 0.646562922 0.747976613
146 0.644879206 0.741745194
147 0.640425338 0.736936404
148 0.642098858 0.738454069
149 0.639824726 0.735088794
150 0.639436867 0.730058211
151 0.636967690 0.727254845
152 0.634071728 0.726059582
153 0.638541712 0.721359797
154 0.636870506 0.720603914
155 0.635840502 0.716053742
156 0.634631782 0.712651860
157 0.635176908 0.713091866
158 0.636350278 0.710854861
159 0.630592422 0.705590054
160 0.628551500 0.702638588
161 0.638722725 0.704480058
162 0.628619413 0.699207421
163 0.629349685 0.697220271
164 0.633774185 0.694696634
165 0.628436296 0.693437985
166 0.629022377 0.689616027
167 0.627814493 0.686207316
168 0.630237629 0.685077060
169 0.624359137 0.679446678
170 0.628144302 0.682249239
171 0.628375320 0.678177314
172 0.625386344 0.677084783
173 0.625982515 0.674397330
174 0.626736209 0.672231984
175 0.624767770 0.667420642
176 0.623544681 0.666239854
177 0.621738238 0.662382340
178 0.623530512 0.660583224
179 0.623239612 0.660431901
180 0.623743558 0.656603742
