ell power_ratio signed_cospectrum
80 0.779978368 0.932761983
81 0.778542329 0.929830232
82 0.778836166 0.928346397
83 0.773596175 0.925421377
84 0.772195255 0.923282246
85 0.765624205 0.919917692
86 0.758674946 0.918688454
87 0.763851111 0.916280430
88 0.755346373 0.913755323
89 0.757409082 0.911114669
90 0.752653992 0.908529732
91 0.746593130 0.904082471
92 0.746467239 0.903910631
93 0.742488689 0.900031291
94 0.744215874 0.898722650
95 0.734573627 0.894578495
96 0.738971561 0.892151404
97 0.733725511 0.890199051
98 0.730622412 0.887315441
99 0.729294959 0.883159323
100 0.722681293 0.881018364
101 0.720269784 0.877484176
102 0.719156142 0.875252414
103 0.715977941 0.873692597
104 0.716719664 0.870703573
105 0.711341191 0.866712035
106 0.711110955 0.864292477
107 0.706296306 0.861047169
108 0.703252524 0.858253784
109 0.703484511 0.855177310
110 0.703586179 0.852174131
111 0.698302442 0.849825655
112 0.697035604 0.846205196
113 0.694868262 0.841977572
114 0.693492589 0.837922742
115 0.687756373 0.836868833
116 0.684653876 0.831770509
117 0.683347786 0.829866498
118 0.681665494 0.827542038
119 0.681296089 0.821254697
120 0.680076770 0.819345558
121 0.674480124 0.816335171
122 0.677861305 0.814953656
123 0.675686662 0.808648223
124 0.671555967 0.806515471
125 0.671697568 0.804563030
126 0.670316379 0.802914102
127 0.665186328 0.798584908
128 0.666557175 0.795788632
129 0.660369547 0.792224488
130 0.663050388 0.790154384
131 0.659186776 0.784482303
132 0.656729606 0.781998464
133 0.657667547 0.779258014
134 0.654602796 0.774842248
135 0.652737004 0.770417919
136 0.653685761 0.769880066
137 0.648624611 0.764774808
138 0.647922408 0.763531057
139 0.642933311 0.759402575
140 0.645408829 0.758513453
141 0.645906850 0.752895363
142 0.641055622 0.751616937
143 0.643559597 0.749253058
144 0.641001461 0.745248577
145 0.641477602 0.744077125
146 0.638688808 0.737673770
147 0.634868718 0.732990829
148 0.636311088 0.734414540
149 0.633507771 0.730507990
150 0.632824071 0.725213619
151 0.629849176 0.722665784
152 0.627062793 0.720688663
153 0.630901215 0.715780320
154 0.629874107 0.715130509
155 0.628087900 0.710207849
156 0.626469100 0.706803561
157 0.627721869 0.706869268
158 0.628846090 0.704748448
159 0.621818148 0.699173110
160 0.619845482 0.696170802
161 0.628903299 0.697398833
162 0.619204340 0.692241242
163 0.619408923 0.689581558
164 0.624189663 0.687385612
165 0.619308384 0.686051898
166 0.619353182 0.681972671
167 0.618149068 0.678430367
168 0.620112613 0.677291404
169 0.613800966 0.671432473
170 0.616754731 0.674311311
171 0.617383811 0.669761180
172 0.614795251 0.668512091
173 0.615056019 0.665984829
174 0.615202695 0.663859930
175 0.613181223 0.658730535
176 0.612227499 0.657196551
177 0.610038391 0.653073983
178 0.612632401 0.651664859
179 0.612157579 0.650903460
180 0.612525544 0.647592881
