ell power_ratio signed_cospectrum
80 0.822324925 0.948404254
81 0.821252791 0.946286436
82 0.822649604 0.945108109
83 0.816631856 0.942758918
84 0.814240721 0.941247377
85 0.807478843 0.938738908
86 0.800813922 0.937745229
87 0.804246276 0.935750237
88 0.796905521 0.933801216
89 0.797764124 0.931921842
90 0.793090378 0.929820068
91 0.786966620 0.926296648
92 0.787466621 0.925979130
93 0.781720587 0.923055160
94 0.783106854 0.921669501
95 0.773354132 0.918366480
96 0.777073784 0.916871309
97 0.770834827 0.914846924
98 0.768650133 0.912603716
99 0.767076397 0.909011511
100 0.759704292 0.907078057
101 0.756427489 0.904643189
102 0.755079161 0.902618797
103 0.750354941 0.900699963
104 0.749809453 0.898495169
105 0.745584303 0.895302828
106 0.744672611 0.892900341
107 0.738921174 0.889566173
108 0.736021238 0.887397128
109 0.734561761 0.884663935
110 0.733827660 0.881595602
111 0.726773778 0.879614348
112 0.725333098 0.876228757
113 0.722723240 0.872475031
114 0.719694896 0.868623606
115 0.714318517 0.867375594
116 0.708772958 0.862728764
117 0.707536762 0.860899496
118 0.704567531 0.857980552
119 0.702041420 0.851872225
120 0.699576064 0.850016751
121 0.694591627 0.847178972
122 0.696017652 0.845017036
123 0.691452963 0.838776350
124 0.686437639 0.836252698
125 0.685413287 0.833880304
126 0.683310456 0.831474645
127 0.677292356 0.827535267
128 0.678452658 0.823669880
129 0.671403292 0.819552709
130 0.672366445 0.817275933
131 0.667235740 0.811656301
132 0.665130165 0.808759358
133 0.665127494 0.805358261
134 0.660591328 0.800487334
135 0.657969155 0.795711847
136 0.657040167 0.794401455
137 0.652182410 0.789327219
138 0.651307788 0.787329405
139 0.645737889 0.782161110
140 0.648279844 0.780885153
141 0.647862741 0.775087417
142 0.642207274 0.773376786
143 0.644550912 0.770093752
144 0.640692042 0.766009268
145 0.641020660 0.764345317
146 0.639369122 0.757535685
147 0.635202254 0.752501360
148 0.635740471 0.753318327
149 0.632793377 0.749260140
150 0.631984495 0.743799809
151 0.628662714 0.741002675
152 0.625571103 0.738821292
153 0.629313454 0.733684212
154 0.628380997 0.731967433
155 0.626671044 0.727285295
156 0.625412451 0.723541073
157 0.625383193 0.722916065
158 0.625623149 0.720126319
159 0.620378583 0.715025233
160 0.617539979 0.711747031
161 0.626656894 0.712271438
162 0.618105135 0.707284539
163 0.617387408 0.704415823
164 0.622521622 0.701835848
165 0.617461482 0.700398553
166 0.616627017 0.695897615
167 0.615883439 0.691825298
168 0.617725207 0.690214467
169 0.611556090 0.684222473
170 0.614505027 0.686552347
171 0.615214755 0.682254138
172 0.612856110 0.680463143
173 0.612949766 0.677734602
174 0.613373481 0.675205791
175 0.610929093 0.670058492
176 0.610037132 0.668126336
177 0.607671227 0.664001330
178 0.609921371 0.662215690
179 0.609501255 0.661234935
180 0.610085043 0.657338166
