ell power_ratio signed_cospectrum
80 0.750692432 0.919470238
81 0.749040422 0.915621461
82 0.748930873 0.913803906
83 0.744565183 0.910005452
84 0.741268080 0.907472830
85 0.733980586 0.903264783
86 0.725190419 0.901432114
87 0.730632239 0.898004664
88 0.722318038 0.895235137
89 0.722311635 0.891091129
90 0.717130338 0.888812542
91 0.710466050 0.882813696
92 0.708692808 0.882370835
93 0.704083483 0.876877964
94 0.704202687 0.874704326
95 0.695035101 0.869321357
96 0.697045846 0.866593876
97 0.693677908 0.863712152
98 0.688160878 0.859770785
99 0.687056998 0.854052734
100 0.678630343 0.851004764
101 0.676416444 0.847289355
102 0.674100807 0.843967128
103 0.671405257 0.841595804
104 0.670057347 0.837002917
105 0.665894142 0.831644790
106 0.663896377 0.828563634
107 0.659834832 0.823761065
108 0.655381889 0.820785376
109 0.653624619 0.815999415
110 0.655076091 0.812173479
111 0.650573161 0.808290444
112 0.647855648 0.803388161
113 0.644539526 0.798261788
114 0.642805019 0.792368033
115 0.639432067 0.789916217
116 0.633959605 0.784119889
117 0.634588458 0.781604945
118 0.632799880 0.778894929
119 0.628915004 0.769760090
120 0.630022604 0.767292018
121 0.622847987 0.762853185
122 0.626618725 0.759333418
123 0.622610429 0.752268315
124 0.618680073 0.749266143
125 0.618696998 0.745831959
126 0.617201295 0.743165008
127 0.613877864 0.736824363
128 0.614608134 0.733732463
129 0.607232409 0.729860806
130 0.611027157 0.725983820
131 0.607712824 0.718698944
132 0.605664587 0.716175889
133 0.606538120 0.711380345
134 0.602389785 0.706041857
135 0.602966702 0.700826573
136 0.601053756 0.697333702
137 0.597278182 0.692977273
138 0.597295879 0.690902381
139 0.590178132 0.684692592
140 0.595383311 0.683842203
141 0.595532385 0.676867266
142 0.589603261 0.674072628
143 0.591241822 0.671524464
144 0.589884649 0.665343235
145 0.592025946 0.663847858
146 0.590638882 0.656790454
147 0.584374178 0.651318395
148 0.586524682 0.653370734
149 0.581132007 0.646404374
150 0.583505822 0.640029746
151 0.579002383 0.636642207
152 0.577805741 0.634920735
153 0.582197350 0.629600920
154 0.579185434 0.628127966
155 0.580081472 0.620317812
156 0.577575746 0.617122448
157 0.578398402 0.616409178
158 0.581851157 0.612503606
159 0.573916082 0.606181060
160 0.572537029 0.601636101
161 0.578477944 0.604258516
162 0.573496701 0.596868240
163 0.572383391 0.594720494
164 0.578109749 0.589597840
165 0.572581514 0.589359194
166 0.574725311 0.582885439
167 0.572848947 0.579196314
168 0.573549014 0.578035494
169 0.567658800 0.572810818
170 0.573424673 0.573645349
171 0.572549377 0.568491967
172 0.571437660 0.568974512
173 0.573376017 0.564031647
174 0.572643096 0.561748155
175 0.568847029 0.556174555
176 0.569095907 0.555792468
177 0.567453637 0.546647715
178 0.568648108 0.546892470
179 0.569332225 0.544028231
180 0.568717582 0.541728518
