ell power_ratio signed_cospectrum
80 0.701736429 0.894353046
81 0.699544185 0.890094314
82 0.699076152 0.888159006
83 0.697560966 0.883813782
84 0.695380610 0.881103755
85 0.688571674 0.876232065
86 0.681632571 0.874104608
87 0.687367043 0.870944552
88 0.680157046 0.867479961
89 0.681185533 0.863205906
90 0.676726853 0.860384644
91 0.670608524 0.853569307
92 0.670254445 0.853944449
93 0.666806081 0.847294137
94 0.668593376 0.845964670
95 0.659312059 0.840261466
96 0.664176410 0.837254043
97 0.659087715 0.834475841
98 0.656827602 0.830257887
99 0.655105945 0.824505114
100 0.647892971 0.821649225
101 0.646239465 0.817471798
102 0.645242277 0.814510221
103 0.642436262 0.812381637
104 0.643751195 0.808023937
105 0.638145046 0.801588521
106 0.639342415 0.799818037
107 0.634168903 0.795081080
108 0.631398738 0.791897010
109 0.629975539 0.786875468
110 0.632641016 0.783725592
111 0.629369573 0.779742864
112 0.626579228 0.775175042
113 0.623760290 0.770142126
114 0.622879367 0.764381363
115 0.619819384 0.762497597
116 0.615028102 0.756054721
117 0.615356727 0.754471847
118 0.613517701 0.752058029
119 0.611368318 0.743064974
120 0.612868432 0.741749438
121 0.606569443 0.737242320
122 0.611528169 0.734447185
123 0.607918616 0.727356389
124 0.603653960 0.724549475
125 0.604671587 0.721517193
126 0.603973685 0.719926187
127 0.600460184 0.713710200
128 0.601908407 0.711266257
129 0.594197154 0.707247639
130 0.598564413 0.704438755
131 0.596302847 0.697013394
132 0.594837096 0.695140801
133 0.595218212 0.690397837
134 0.591930454 0.685962498
135 0.592986914 0.681369620
136 0.591214081 0.677737777
137 0.587112028 0.673565577
138 0.588306862 0.672118638
139 0.581112844 0.666425780
140 0.586946560 0.666215153
141 0.587170058 0.659463965
142 0.581436207 0.657151967
143 0.582969493 0.655573828
144 0.581745720 0.649366711
145 0.584108895 0.648791139
146 0.582610626 0.641898316
147 0.576194934 0.636227270
148 0.579690365 0.639122651
149 0.573650078 0.632453828
150 0.576864036 0.626352825
151 0.572162358 0.623825124
152 0.571561684 0.622251776
153 0.575536134 0.617141207
154 0.573121594 0.615859840
155 0.573926644 0.609002579
156 0.570959582 0.606211096
157 0.572242273 0.605930993
158 0.575406471 0.602890688
159 0.567523827 0.596451293
160 0.566834010 0.591738205
161 0.573278884 0.595405331
162 0.567203036 0.588233699
163 0.566579039 0.586696515
164 0.572388839 0.581400375
165 0.566987315 0.581598604
166 0.568770322 0.575210999
167 0.566920104 0.571961695
168 0.566725911 0.571605937
169 0.561595496 0.565727057
170 0.566339501 0.567463052
171 0.568026864 0.563157296
172 0.564869053 0.563245285
173 0.567514087 0.559231132
174 0.568002574 0.556839613
175 0.563320491 0.551581951
176 0.563326935 0.551294638
177 0.560782540 0.543848260
178 0.562462542 0.542788300
179 0.563230316 0.540671107
180 0.562898150 0.539255346
