ell power_ratio signed_cospectrum
80 0.735772350 0.901710049
81 0.733246145 0.897610886
82 0.733450268 0.895780590
83 0.730807393 0.891489150
84 0.728190520 0.888756404
85 0.721415514 0.884115342
86 0.713773746 0.881991522
87 0.719536576 0.878669295
88 0.711305451 0.875459077
89 0.712422406 0.871450516
90 0.708098924 0.868624712
91 0.700962015 0.862047066
92 0.700847247 0.862100223
93 0.697339936 0.856076754
94 0.698782718 0.854437607
95 0.689607053 0.848703697
96 0.693825084 0.845840326
97 0.688764271 0.843048383
98 0.686208172 0.838958575
99 0.684220462 0.833209101
100 0.677118395 0.830270826
101 0.674570148 0.826405823
102 0.674130159 0.823059926
103 0.670795666 0.821200337
104 0.671759519 0.816739496
105 0.666323015 0.810553098
106 0.666494331 0.808467412
107 0.661376416 0.804001096
108 0.658321312 0.800866299
109 0.657665262 0.795634993
110 0.660043695 0.792578487
111 0.656069645 0.788765037
112 0.653339873 0.783870462
113 0.649827753 0.779166330
114 0.649307336 0.773333188
115 0.645711739 0.771632607
116 0.640869088 0.765333643
117 0.640944868 0.763402614
118 0.638698913 0.760820449
119 0.636810256 0.752041824
120 0.637707225 0.750600541
121 0.631713714 0.746110688
122 0.636301281 0.743101574
123 0.632647290 0.736035547
124 0.628423395 0.733273192
125 0.629501525 0.730274416
126 0.628230763 0.728377798
127 0.624326428 0.722220992
128 0.626446476 0.719682131
129 0.618332327 0.715857773
130 0.622377266 0.712935044
131 0.620083369 0.705365664
132 0.618163568 0.703552988
133 0.618934059 0.698860551
134 0.615339051 0.694324471
135 0.616414244 0.689604979
136 0.614421549 0.685770261
137 0.610269165 0.682047686
138 0.611240189 0.680337107
139 0.604124721 0.674527541
140 0.610049792 0.674398204
141 0.610091764 0.667707773
142 0.603863273 0.665315814
143 0.605618524 0.663173718
144 0.604346892 0.657500459
145 0.606792814 0.656603851
146 0.605480653 0.649627325
147 0.598454114 0.644293981
148 0.601926899 0.646753928
149 0.596189671 0.640315613
150 0.598767949 0.634330693
151 0.594858908 0.631547865
152 0.593089717 0.630126481
153 0.597597963 0.624527740
154 0.594900474 0.623389008
155 0.595995382 0.616612070
156 0.592671706 0.613555478
157 0.594177150 0.613146181
158 0.597137154 0.610242186
159 0.589339977 0.603832360
160 0.588032231 0.598912416
161 0.594730184 0.602364618
162 0.588768296 0.595251642
163 0.588171522 0.593785746
164 0.594021982 0.588266471
165 0.588153362 0.588349722
166 0.590380244 0.582076893
167 0.588211952 0.578970271
168 0.588205012 0.578275453
169 0.582949580 0.572556823
170 0.587702631 0.574159404
171 0.589535540 0.569528134
172 0.585804052 0.569749686
173 0.588688385 0.565602494
174 0.588799556 0.563108574
175 0.584551027 0.557751515
176 0.584230147 0.557479644
177 0.582163282 0.549983528
178 0.583352408 0.548976624
179 0.584512473 0.547018429
180 0.583744357 0.544895856
