ell power_ratio signed_cospectrum
80 0.903646011 0.972459869
81 0.903155199 0.971468266
82 0.903122076 0.970831815
83 0.898816565 0.969702500
84 0.897814104 0.969185537
85 0.893138440 0.967881593
86 0.889696585 0.967519724
87 0.889232606 0.966502598
88 0.885287866 0.965954991
89 0.885536281 0.965093389
90 0.883898183 0.964333067
91 0.878353912 0.962772390
92 0.878659087 0.962536504
93 0.873658996 0.961147322
94 0.873320559 0.960539874
95 0.868080552 0.959125077
96 0.869865170 0.958655827
97 0.863537513 0.958195030
98 0.862358469 0.957311348
99 0.859425463 0.955570105
100 0.854558408 0.955071263
101 0.851408509 0.953711221
102 0.849861733 0.953042712
103 0.846339381 0.952237372
104 0.845825028 0.951259105
105 0.841022818 0.949832371
106 0.838640245 0.949418352
107 0.837432218 0.947939839
108 0.831532513 0.947533727
109 0.830878029 0.945860698
110 0.829005873 0.944745219
111 0.825898577 0.944050278
112 0.822125585 0.942356812
113 0.820213993 0.941469060
114 0.815343435 0.939967022
115 0.816216921 0.939390675
116 0.808983570 0.938161477
117 0.807615957 0.937459578
118 0.804634467 0.937165997
119 0.801058630 0.934583773
120 0.800176682 0.934436021
121 0.795751737 0.932800286
122 0.796664819 0.931999007
123 0.793249540 0.930514337
124 0.788058338 0.929644615
125 0.786537786 0.928621928
126 0.785831101 0.927907363
127 0.781235984 0.926898596
128 0.778977635 0.925190953
129 0.774864220 0.924190447
130 0.774362653 0.922710061
131 0.770897857 0.922047196
132 0.769054464 0.921385732
133 0.766944826 0.919619275
134 0.762069150 0.918501548
135 0.760252154 0.917204106
136 0.755142640 0.916340031
137 0.753593287 0.915270286
138 0.752771465 0.914223685
139 0.745103433 0.912924226
140 0.747039974 0.912291923
141 0.744252006 0.910483305
142 0.739148465 0.910060314
143 0.738664888 0.909713797
144 0.733509242 0.908209205
145 0.734453375 0.907332680
146 0.731812259 0.905447922
147 0.727451326 0.904672853
148 0.724910082 0.904638822
149 0.719995486 0.903506069
150 0.718796073 0.902210720
151 0.714694953 0.900934190
152 0.714332319 0.900622864
153 0.712436072 0.899728976
154 0.707589890 0.897805934
155 0.707249702 0.896795336
156 0.702142482 0.895467832
157 0.700537093 0.894613563
158 0.697600828 0.894170460
159 0.690206519 0.893014269
160 0.690743624 0.891616455
161 0.689803463 0.891483972
162 0.686961036 0.889642535
163 0.684480933 0.889080081
164 0.682845795 0.887077757
165 0.677451051 0.887033316
166 0.675226551 0.885467650
167 0.673204721 0.884407875
168 0.669286529 0.884350613
169 0.664607648 0.881368555
170 0.666056555 0.881800804
171 0.664503824 0.880317421
172 0.662076418 0.880491122
173 0.659325044 0.879457763
174 0.655430716 0.878084049
175 0.651396639 0.876219986
176 0.648351793 0.875968525
177 0.646347011 0.873556677
178 0.644435410 0.873271938
179 0.644269394 0.872388838
180 0.639314679 0.870938544
