ell power_ratio signed_cospectrum
80 0.923988496 0.973832722
81 0.922300722 0.973195676
82 0.921434871 0.972124006
83 0.917421258 0.971582908
84 0.914923001 0.970805042
85 0.914526841 0.969656281
86 0.913624616 0.969531023
87 0.910476855 0.968356434
88 0.910316423 0.967884010
89 0.909501423 0.966462429
90 0.907430289 0.965769206
91 0.903211893 0.964720595
92 0.906029032 0.964231170
93 0.899790492 0.963321508
94 0.897232623 0.962237324
95 0.895304795 0.961645064
96 0.893586343 0.960454764
97 0.889570340 0.959768936
98 0.886144163 0.958864516
99 0.886746548 0.958125499
100 0.883791864 0.956634421
101 0.878226727 0.955464634
102 0.875752907 0.954520509
103 0.872006599 0.953928155
104 0.871470701 0.952517087
105 0.868865994 0.952538673
106 0.865666689 0.951738908
107 0.862571513 0.950068879
108 0.861008481 0.948922061
109 0.858376224 0.948500301
110 0.853469746 0.946963280
111 0.850774344 0.945536232
112 0.849327599 0.945167911
113 0.847505069 0.943793100
114 0.841108087 0.942153736
115 0.838033038 0.941385407
116 0.837922412 0.940950391
117 0.832713490 0.940299592
118 0.828559083 0.938106970
119 0.826867320 0.937903118
120 0.820866910 0.936663061
121 0.820176488 0.934983416
122 0.814955648 0.933827718
123 0.814513750 0.933314143
124 0.807169558 0.930816373
125 0.809787692 0.931428466
126 0.806118474 0.929803116
127 0.794540329 0.927301499
128 0.797784945 0.927127972
129 0.794036233 0.924616306
130 0.788454561 0.924925447
131 0.786751444 0.923589824
132 0.785571550 0.922783133
133 0.780414658 0.921433205
134 0.771734966 0.919724009
135 0.772106944 0.918597746
136 0.768245516 0.917414418
137 0.766449718 0.917132885
138 0.757142865 0.913817884
139 0.759108219 0.914338823
140 0.751397368 0.912472495
141 0.745159772 0.910527707
142 0.748147307 0.910250987
143 0.744417108 0.909355026
144 0.741430686 0.908061044
145 0.742610730 0.907864615
146 0.730061673 0.906144271
147 0.732030328 0.905337206
148 0.725282764 0.903195425
149 0.720739480 0.903055176
150 0.720145934 0.903301584
151 0.716171851 0.900508181
152 0.711898465 0.898450022
153 0.711659505 0.898526042
154 0.703738388 0.895828516
155 0.705014413 0.895180090
156 0.699085874 0.892967313
157 0.695720006 0.891632720
158 0.690374548 0.890351402
159 0.692214675 0.890344925
160 0.685290317 0.888824018
161 0.686524252 0.887006104
162 0.681383979 0.885935837
163 0.677040782 0.884491474
164 0.680123030 0.886312390
165 0.674694827 0.882407354
166 0.673243375 0.881457053
167 0.675741520 0.882082526
168 0.665970181 0.878906008
169 0.664865234 0.878549934
170 0.661366477 0.877286125
171 0.658462235 0.874720515
172 0.657838680 0.875603636
173 0.653748732 0.874092405
174 0.649865762 0.871922534
175 0.654449792 0.872255850
176 0.645791661 0.866955714
177 0.642933766 0.868847664
178 0.644323396 0.868187109
179 0.641809679 0.867138257
180 0.638558273 0.864932570
