ell power_ratio signed_cospectrum
80 0.861077963 0.947729759
81 0.855744840 0.945959848
82 0.851196305 0.942968565
83 0.848725222 0.942105812
84 0.849509672 0.939417527
85 0.843438357 0.936956000
86 0.843921224 0.935819087
87 0.836036368 0.932709506
88 0.839384273 0.932175499
89 0.833251660 0.928028267
90 0.832565737 0.926930662
91 0.825244415 0.923102850
92 0.827964161 0.921405059
93 0.824092890 0.918968396
94 0.816847385 0.916438969
95 0.817123751 0.914562770
96 0.812351065 0.911374538
97 0.807773004 0.909186165
98 0.803870655 0.906209703
99 0.805466748 0.903642479
100 0.800878648 0.900416546
101 0.797115988 0.896669468
102 0.794646118 0.894094962
103 0.790648490 0.892432943
104 0.793424242 0.888624047
105 0.788709908 0.887764056
106 0.785909860 0.885437026
107 0.785374377 0.881412176
108 0.781247555 0.878237660
109 0.780941802 0.875885026
110 0.773738457 0.872022607
111 0.771544913 0.867937129
112 0.771539911 0.866132928
113 0.772021062 0.863687616
114 0.761662557 0.858150565
115 0.763321272 0.856349744
116 0.763094819 0.853359890
117 0.757610482 0.851555739
118 0.754892070 0.846704886
119 0.759044093 0.845382266
120 0.753393615 0.839973567
121 0.749199192 0.835386105
122 0.750629991 0.833750446
123 0.746587374 0.832680280
124 0.741862288 0.825930523
125 0.747449034 0.825972565
126 0.745065953 0.822260773
127 0.734851114 0.815561290
128 0.740044442 0.815241450
129 0.737216349 0.808563440
130 0.735813218 0.808699637
131 0.735553019 0.804801549
132 0.735517457 0.802475117
133 0.728259345 0.800385929
134 0.721422886 0.793763539
135 0.727065520 0.791963803
136 0.730807650 0.790031430
137 0.728671682 0.787834965
138 0.717045792 0.779126164
139 0.725538835 0.781412994
140 0.715184623 0.774906204
141 0.713060431 0.770051302
142 0.721075458 0.771060518
143 0.715124302 0.767503240
144 0.716098144 0.763161276
145 0.721273899 0.764333583
146 0.708887976 0.758793782
147 0.712880627 0.757540277
148 0.707526184 0.750196996
149 0.708646050 0.751039873
150 0.711085876 0.750060827
151 0.705915186 0.743369964
152 0.705439137 0.740724484
153 0.706339632 0.740765965
154 0.703262529 0.733247722
155 0.706418035 0.731880193
156 0.698780223 0.726409250
157 0.700245010 0.723441318
158 0.699901592 0.720846061
159 0.702938517 0.722455127
160 0.696436586 0.718224362
161 0.700565140 0.715246772
162 0.697537521 0.709585939
163 0.694604602 0.706787938
164 0.705395797 0.712750580
165 0.696856631 0.704549099
166 0.696430055 0.700682789
167 0.702087229 0.702740628
168 0.694846743 0.695007432
169 0.694236866 0.695396090
170 0.696517603 0.693054757
171 0.695294487 0.686439513
172 0.696413634 0.691405466
173 0.693144331 0.687153943
174 0.691373672 0.682089947
175 0.699601641 0.683593978
176 0.690416225 0.672789517
177 0.695738858 0.676726271
178 0.693857847 0.674667084
179 0.691351078 0.672888725
180 0.693027337 0.667501696
