ell power_ratio signed_cospectrum
80 0.745555806 0.883718029
81 0.741249023 0.880700130
82 0.737479098 0.875461043
83 0.737930081 0.875213554
84 0.738964091 0.870860078
85 0.731201442 0.866636247
86 0.732968085 0.866652418
87 0.726563951 0.862094763
88 0.731645830 0.861368857
89 0.728733435 0.854752426
90 0.728747327 0.854912242
91 0.721326245 0.847126413
92 0.726938844 0.847779395
93 0.722860406 0.843300468
94 0.718537421 0.840289522
95 0.720185514 0.839008744
96 0.716285925 0.834840020
97 0.713559612 0.831981288
98 0.709089732 0.827985771
99 0.714688935 0.825974001
100 0.710034153 0.821749748
101 0.707551233 0.817876758
102 0.706668869 0.814704856
103 0.703186453 0.813487003
104 0.708130176 0.809029252
105 0.705045692 0.809835354
106 0.704724439 0.807984053
107 0.706639017 0.803038852
108 0.704788637 0.800851589
109 0.704419665 0.798645906
110 0.698989743 0.793687977
111 0.695288145 0.790174377
112 0.698751661 0.787653252
113 0.700801087 0.787098441
114 0.690088426 0.779865123
115 0.691979980 0.778867897
116 0.693289682 0.776320933
117 0.691394817 0.775941833
118 0.687498200 0.769937232
119 0.695026396 0.771473571
120 0.689273996 0.764560426
121 0.688786335 0.760137562
122 0.691052555 0.759651089
123 0.689441381 0.758629536
124 0.684363262 0.751688873
125 0.691050857 0.753111617
126 0.690333636 0.751331844
127 0.683503185 0.743862323
128 0.686219232 0.744418291
129 0.685531721 0.738412610
130 0.685010821 0.739923194
131 0.686830974 0.736672641
132 0.688040472 0.734990073
133 0.681762475 0.734510196
134 0.675641587 0.726158999
135 0.680919702 0.725409022
136 0.686392821 0.726240286
137 0.687022408 0.725007496
138 0.674940870 0.714305707
139 0.685371764 0.719486558
140 0.675454224 0.712777739
141 0.674493399 0.708083312
142 0.682950507 0.710830538
143 0.679089354 0.707859979
144 0.681270471 0.703621044
145 0.685590163 0.707475535
146 0.672864566 0.702231787
147 0.679004835 0.702664115
148 0.675201882 0.695456825
149 0.676230010 0.697132271
150 0.680207452 0.697188233
151 0.676822128 0.690619042
152 0.675820758 0.688121411
153 0.678389040 0.690125041
154 0.673994810 0.681844027
155 0.677268280 0.682054679
156 0.672456110 0.677304851
157 0.673289839 0.674278867
158 0.674572630 0.673384924
159 0.677568458 0.676614039
160 0.671391596 0.673165249
161 0.675129724 0.671053052
162 0.674733042 0.665586925
163 0.670235949 0.662778825
164 0.682275013 0.671524009
165 0.673801186 0.662885235
166 0.673651289 0.659392783
167 0.679768787 0.663226290
168 0.670648139 0.655899548
169 0.672075192 0.656704568
170 0.674714461 0.655699300
171 0.673760144 0.649350140
172 0.675414783 0.655487356
173 0.673632492 0.651826005
174 0.671023871 0.647959398
175 0.680503089 0.650386166
176 0.669139327 0.638929037
177 0.675469058 0.645564204
178 0.676520327 0.643834214
179 0.672671654 0.642022280
180 0.673028691 0.637686963
