ell power_ratio signed_cospectrum
80 0.789461242 0.913969567
81 0.784367170 0.911458390
82 0.780730728 0.907238262
83 0.780811918 0.906666509
84 0.780541008 0.902945260
85 0.774032953 0.899899344
86 0.775335709 0.898910378
87 0.769331222 0.895283863
88 0.772639214 0.894420226
89 0.768322812 0.889109892
90 0.767610975 0.888602184
91 0.760819874 0.882445222
92 0.766026783 0.882204036
93 0.762049344 0.878363661
94 0.756787511 0.875949668
95 0.758132654 0.874283073
96 0.754050541 0.870309780
97 0.751451945 0.867911781
98 0.746202989 0.864454579
99 0.748231054 0.862212216
100 0.745474631 0.858496965
101 0.742434292 0.854688956
102 0.740795123 0.851886670
103 0.738041907 0.850796434
104 0.742236615 0.846223385
105 0.737630449 0.846514962
106 0.737098340 0.844431476
107 0.738321010 0.840086116
108 0.736789461 0.837700148
109 0.735496000 0.835628158
110 0.730345798 0.831300962
111 0.726729598 0.827883952
112 0.728532052 0.825269132
113 0.730830450 0.824235775
114 0.720319645 0.817661255
115 0.721429014 0.816557261
116 0.723042903 0.814048295
117 0.719742583 0.813222380
118 0.715711592 0.807653457
119 0.721908406 0.808239472
120 0.717035476 0.802144286
121 0.714967103 0.798183008
122 0.716543443 0.796880573
123 0.714528508 0.796022546
124 0.709428253 0.789329543
125 0.716005003 0.790045583
126 0.715029192 0.787651285
127 0.707900288 0.781425774
128 0.710636346 0.781009455
129 0.709990149 0.775084185
130 0.706974757 0.775784949
131 0.709605268 0.772634743
132 0.710529319 0.771141752
133 0.703882421 0.770245216
134 0.697354469 0.762803279
135 0.703247966 0.761243252
136 0.707986679 0.761265903
137 0.707388451 0.759751591
138 0.695349346 0.750325902
139 0.706272344 0.754099570
140 0.696027112 0.748018434
141 0.694361229 0.743772856
142 0.701517767 0.745358565
143 0.697265188 0.742421433
144 0.699362959 0.738379534
145 0.704031730 0.740728231
146 0.691010350 0.735720659
147 0.696414403 0.735524230
148 0.692389692 0.728459827
149 0.694391921 0.730180766
150 0.695554307 0.729435918
151 0.692554250 0.723352055
152 0.691986541 0.720738268
153 0.694216085 0.722402946
154 0.689548137 0.714009875
155 0.691753504 0.713919321
156 0.686885541 0.709035098
157 0.688138510 0.706813247
158 0.688389545 0.704829059
159 0.691064465 0.707490210
160 0.684948483 0.704066572
161 0.687862915 0.701285877
162 0.688134463 0.696221565
163 0.683933502 0.693728311
164 0.694627834 0.700685038
165 0.686032266 0.692709053
166 0.686889616 0.689073078
167 0.691797080 0.692114198
168 0.681979432 0.684885091
169 0.683772573 0.685567290
170 0.685941833 0.683560797
171 0.684393676 0.677908014
172 0.686092355 0.682807949
173 0.684520406 0.679406332
174 0.682341929 0.675520503
175 0.690863971 0.677350189
176 0.679400131 0.666259858
177 0.684852429 0.671836339
178 0.687056003 0.670137931
179 0.682534631 0.668102284
180 0.683101577 0.663471424
