ell power_ratio signed_cospectrum
80 0.944594986 0.974695475
81 0.942994947 0.974142954
82 0.943407551 0.972903802
83 0.939210499 0.972435322
84 0.937733982 0.971739581
85 0.937177026 0.970547459
86 0.937022742 0.970357740
87 0.933451131 0.969183629
88 0.936232766 0.968746319
89 0.933188228 0.967444941
90 0.932647730 0.966732067
91 0.928181258 0.965593023
92 0.931667377 0.965199020
93 0.925924836 0.964175221
94 0.923411672 0.963183804
95 0.922638202 0.962702525
96 0.921113415 0.961388070
97 0.917410822 0.960843868
98 0.915492908 0.959712870
99 0.916887849 0.959116925
100 0.913305569 0.957673107
101 0.909420232 0.956307492
102 0.908383301 0.955461971
103 0.904396451 0.954842500
104 0.904359577 0.953396747
105 0.901190929 0.953477968
106 0.898921509 0.952600229
107 0.897534158 0.951108186
108 0.894273410 0.949769290
109 0.893355589 0.949316860
110 0.889168774 0.947972262
111 0.887028305 0.946624975
112 0.885764440 0.945965254
113 0.884044747 0.944784734
114 0.878015160 0.943088269
115 0.875307712 0.942425449
116 0.876905546 0.941888320
117 0.872491874 0.941006657
118 0.867556177 0.939083063
119 0.866456049 0.938862402
120 0.861015645 0.937473418
121 0.860822290 0.935816500
122 0.856616610 0.934686692
123 0.853950324 0.934295562
124 0.849052260 0.931959118
125 0.850775823 0.932238577
126 0.848589320 0.930830917
127 0.837652010 0.928383458
128 0.840485347 0.928057654
129 0.836954377 0.925865215
130 0.831992187 0.926031081
131 0.830932259 0.924764247
132 0.830008519 0.923903567
133 0.824785726 0.922705746
134 0.817251581 0.920633212
135 0.818545973 0.919579059
136 0.814999960 0.918654961
137 0.814970540 0.918191608
138 0.805264608 0.915002484
139 0.806670771 0.915540771
140 0.798997192 0.913674113
141 0.793690182 0.911623714
142 0.795613429 0.911301902
143 0.790519263 0.910360486
144 0.790984267 0.909105901
145 0.790722927 0.908737029
146 0.779260551 0.907405172
147 0.781322415 0.906509949
148 0.774235111 0.904112165
149 0.770882703 0.904082778
150 0.771024518 0.904234263
151 0.766802370 0.901469264
152 0.762929921 0.899665971
153 0.763423832 0.900000022
154 0.754575145 0.897082778
155 0.754800572 0.896471408
156 0.749640363 0.894112829
157 0.746513058 0.893071046
158 0.741913174 0.891966101
159 0.742760141 0.891619798
160 0.735169491 0.890067685
161 0.738303913 0.888719601
162 0.734679541 0.887766797
163 0.728140014 0.886098690
164 0.731123329 0.888090798
165 0.725486057 0.884019277
166 0.726259654 0.882633808
167 0.727006921 0.883497705
168 0.716112500 0.880657762
169 0.716441352 0.879972317
170 0.714467864 0.878890589
171 0.710802494 0.876559844
172 0.710083134 0.877449315
173 0.706585419 0.875872924
174 0.702855709 0.873824223
175 0.706669444 0.874096799
176 0.695956992 0.868787658
177 0.695703233 0.870785916
178 0.696910464 0.870035038
179 0.692676673 0.869149791
180 0.690583720 0.866833062
