ell power_ratio signed_cospectrum
80 0.917651961 0.971913528
81 0.915949963 0.971067605
82 0.913362723 0.969587318
83 0.912993470 0.968815621
84 0.910559366 0.967826668
85 0.909045360 0.966425693
86 0.908735648 0.965996059
87 0.904207448 0.964404155
88 0.906921933 0.963810382
89 0.904914043 0.961813704
90 0.901448212 0.961066334
91 0.898093463 0.959477175
92 0.901239886 0.958742485
93 0.897776317 0.957038479
94 0.894515351 0.955755766
95 0.892047753 0.954754725
96 0.889266398 0.952866936
97 0.888784642 0.951897511
98 0.883981484 0.950134662
99 0.884338666 0.948858376
100 0.880765145 0.946893510
101 0.875783713 0.944605823
102 0.875846445 0.943053135
103 0.870639240 0.942162603
104 0.872297857 0.939745948
105 0.866979941 0.939004674
106 0.862787956 0.937431105
107 0.863855642 0.934861923
108 0.861067504 0.932648777
109 0.858682422 0.931241073
110 0.854122767 0.928658072
111 0.846818234 0.926118342
112 0.845448190 0.924174669
113 0.846594507 0.922551583
114 0.838154552 0.918936004
115 0.837464674 0.916988050
116 0.833554184 0.915240669
117 0.830835481 0.913538345
118 0.824969353 0.910162950
119 0.827895847 0.908933504
120 0.821163972 0.905132346
121 0.816450708 0.902667650
122 0.818587191 0.900131896
123 0.813359047 0.898958221
124 0.808083097 0.893667882
125 0.810197235 0.893172418
126 0.805842414 0.890734004
127 0.798110008 0.885939124
128 0.800223554 0.883954727
129 0.797681431 0.880087639
130 0.793452246 0.879341193
131 0.792735772 0.875814932
132 0.792780689 0.873700834
133 0.783990772 0.870905755
134 0.780410667 0.866614858
135 0.780784429 0.864318748
136 0.780733218 0.862456023
137 0.781756184 0.860246504
138 0.770511244 0.853691525
139 0.774478439 0.853345277
140 0.767005113 0.848507936
141 0.759856405 0.844159269
142 0.765968177 0.844297253
143 0.761871196 0.840714245
144 0.760565890 0.836759556
145 0.764423054 0.835682366
146 0.752511637 0.831874506
147 0.757409707 0.829149279
148 0.747902201 0.824160114
149 0.747994243 0.822906518
150 0.750273700 0.822164671
151 0.745824444 0.816421065
152 0.742675413 0.812818180
153 0.742330696 0.811751762
154 0.737365488 0.805150995
155 0.737617193 0.803061359
156 0.733665588 0.798307337
157 0.733145535 0.794883979
158 0.730300341 0.791996729
159 0.733385536 0.792077333
160 0.727040336 0.788015451
161 0.726439459 0.783951042
162 0.724865062 0.779420398
163 0.722192887 0.776705967
164 0.729771818 0.779367441
165 0.721405642 0.771777917
166 0.722482164 0.767879252
167 0.724944343 0.768591071
168 0.716591866 0.761527805
169 0.716127881 0.760150880
170 0.716422096 0.756335307
171 0.715186790 0.751848950
172 0.713437132 0.753563421
173 0.710316708 0.749399931
174 0.708855661 0.744304135
175 0.713619152 0.744073868
176 0.704507415 0.735155815
177 0.707401836 0.737082955
178 0.709395755 0.734817910
179 0.704842138 0.732795960
180 0.702715209 0.725857128
