ell power_ratio signed_cospectrum
80 0.869245813 0.939728252
81 0.867532963 0.937913844
82 0.862172699 0.934643388
83 0.861369070 0.933992952
84 0.857584452 0.931676335
85 0.852781725 0.928880364
86 0.854791216 0.928411177
87 0.844765922 0.925003855
88 0.846087295 0.924643147
89 0.841431448 0.920369402
90 0.841397060 0.919035142
91 0.831724180 0.915804470
92 0.836382255 0.914654510
93 0.827866231 0.912312364
94 0.825155690 0.910022510
95 0.822982905 0.908257885
96 0.814935076 0.905011789
97 0.815023596 0.904056775
98 0.808964082 0.900756665
99 0.809117335 0.898531888
100 0.803688852 0.895918350
101 0.798820987 0.892353041
102 0.798191498 0.890401002
103 0.794107585 0.888283237
104 0.791894071 0.884839029
105 0.790729397 0.885163640
106 0.785936274 0.882515372
107 0.780381129 0.878474931
108 0.782949415 0.876117266
109 0.779142677 0.874406012
110 0.768698412 0.870013417
111 0.762712587 0.867512284
112 0.765723563 0.865561374
113 0.763261977 0.863595903
114 0.752633873 0.857272926
115 0.753712083 0.856736503
116 0.747252510 0.854689017
117 0.745930769 0.853312046
118 0.738686929 0.849508684
119 0.746741926 0.847550432
120 0.736654501 0.843180475
121 0.730560433 0.839816332
122 0.727553767 0.837561233
123 0.723230369 0.837819964
124 0.715813607 0.829755275
125 0.721656196 0.830002512
126 0.717578004 0.827771107
127 0.709232263 0.821042831
128 0.705096058 0.820018881
129 0.706219481 0.814220976
130 0.699179963 0.814721410
131 0.701126099 0.811475271
132 0.694888851 0.808522518
133 0.689871206 0.806456335
134 0.686063065 0.800464449
135 0.686611762 0.799194705
136 0.684226493 0.797710436
137 0.681055771 0.795568135
138 0.670943479 0.786908112
139 0.674950312 0.789038679
140 0.664750168 0.782829840
141 0.658023401 0.779357132
142 0.661870238 0.778394450
143 0.657215676 0.775192317
144 0.653991984 0.772659874
145 0.659378849 0.772015116
146 0.646894363 0.768381444
147 0.651089891 0.765641704
148 0.642623236 0.759718781
149 0.641700198 0.760665399
150 0.645150539 0.759597589
151 0.638685912 0.753512499
152 0.637401723 0.750093397
153 0.637895878 0.750211517
154 0.630522839 0.741564144
155 0.628162700 0.741848278
156 0.628016462 0.736833318
157 0.623209566 0.732796058
158 0.624198814 0.731133990
159 0.629098346 0.734064289
160 0.620056916 0.730337756
161 0.620891155 0.724920642
162 0.616840337 0.721752032
163 0.613825110 0.718522857
164 0.623398010 0.723626152
165 0.616115978 0.716616994
166 0.614656186 0.712087666
167 0.619991601 0.713138681
168 0.606189873 0.706167953
169 0.610238967 0.704092546
170 0.609903174 0.702298773
171 0.607616650 0.697242061
172 0.611721161 0.702355875
173 0.604586844 0.698413286
174 0.602721021 0.692002466
175 0.608553595 0.692710960
176 0.599726691 0.682737007
177 0.605089338 0.685604086
178 0.607877962 0.684227456
179 0.602098418 0.683136726
180 0.598183913 0.676251566
