ell power_ratio signed_cospectrum
80 0.751104477 0.876323598
81 0.746410478 0.872563298
82 0.743211976 0.866619532
83 0.741712233 0.865823722
84 0.742066038 0.860172621
85 0.732440506 0.855879004
86 0.734852162 0.854980216
87 0.726705535 0.849867409
88 0.730207158 0.848505724
89 0.726415834 0.841195748
90 0.727542070 0.840344951
91 0.717314092 0.832359955
92 0.724641563 0.831669320
93 0.719137332 0.827312772
94 0.715184458 0.823380126
95 0.716142586 0.821367483
96 0.711565486 0.816376319
97 0.707589373 0.813556472
98 0.702229505 0.808620234
99 0.707171872 0.805906318
100 0.702095146 0.801049894
101 0.697041768 0.794961559
102 0.697123064 0.792265114
103 0.697052086 0.788730485
104 0.696580232 0.783654662
105 0.695456802 0.784573882
106 0.696151814 0.782078659
107 0.695547143 0.775167107
108 0.694813950 0.772588834
109 0.694314369 0.770517401
110 0.685612242 0.763661921
111 0.684124768 0.760953332
112 0.686753607 0.757598918
113 0.687334163 0.755438379
114 0.676942700 0.746977181
115 0.679038037 0.746288891
116 0.676380507 0.743918584
117 0.678432706 0.742796987
118 0.670630418 0.736878315
119 0.681669656 0.736599272
120 0.673211563 0.728321437
121 0.670891161 0.724336397
122 0.673903125 0.723117359
123 0.670676846 0.722515786
124 0.665863684 0.713527027
125 0.674038427 0.715113174
126 0.671942900 0.712649907
127 0.666847520 0.702864934
128 0.667886527 0.703886890
129 0.665735410 0.697860326
130 0.664529753 0.697809475
131 0.668386602 0.694218829
132 0.665866813 0.691646479
133 0.662761837 0.691956913
134 0.658016171 0.682851582
135 0.663178220 0.682192153
136 0.665110831 0.681359391
137 0.667216879 0.680764737
138 0.655802894 0.668735192
139 0.663937370 0.674212359
140 0.655907686 0.666612331
141 0.654349694 0.662775394
142 0.660046303 0.664137980
143 0.656759282 0.661075617
144 0.657439055 0.656603213
145 0.664933746 0.661536774
146 0.651252963 0.654942659
147 0.658140227 0.654053240
148 0.652905920 0.645861171
149 0.655285047 0.649871002
150 0.658919703 0.648795858
151 0.652726309 0.641151462
152 0.653728700 0.638281465
153 0.655763279 0.640916101
154 0.652146631 0.631832793
155 0.653390023 0.631166945
156 0.650769460 0.626588874
157 0.649334075 0.622769974
158 0.651669889 0.620544100
159 0.653232517 0.625346264
160 0.647351062 0.624113295
161 0.652119862 0.618717484
162 0.648334695 0.615350342
163 0.644855215 0.610354425
164 0.660089861 0.621086075
165 0.651029935 0.612666973
166 0.650250653 0.607664602
167 0.655486285 0.612003713
168 0.646828733 0.602579716
169 0.648628574 0.603304582
170 0.650097071 0.602862992
171 0.649504734 0.597169009
172 0.652684440 0.606770740
173 0.647806098 0.601283910
174 0.645207066 0.595043826
175 0.653952978 0.597482184
176 0.643592082 0.585092750
177 0.649863582 0.591910059
178 0.654761846 0.591334398
179 0.648970469 0.589302518
180 0.647808735 0.583153029
